00:35:15.507901 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3445:3481, ack 1872, win 938, options [nop,nop,TS val 3824321955 ecr 1936819339], length 36
00:35:15.611341 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1872:1908, ack 3481, win 501, options [nop,nop,TS val 1936819535 ecr 3824321955], length 36
00:35:15.704254 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3481:3517, ack 1908, win 938, options [nop,nop,TS val 3824322151 ecr 1936819535], length 36
00:35:15.809661 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1908:1944, ack 3517, win 501, options [nop,nop,TS val 1936819734 ecr 3824322151], length 36
00:35:15.904127 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3517:3553, ack 1944, win 938, options [nop,nop,TS val 3824322351 ecr 1936819734], length 36
00:35:16.614314 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1944:1980, ack 3553, win 501, options [nop,nop,TS val 1936820538 ecr 3824322351], length 36
00:35:16.707573 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3553:3589, ack 1980, win 938, options [nop,nop,TS val 3824323155 ecr 1936820538], length 36
00:35:17.739283 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3589:3689, ack 1980, win 938, options [nop,nop,TS val 3824324086 ecr 1936820632], length 100
00:35:17.739686 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3689:4013, ack 1980, win 938, options [nop,nop,TS val 3824324086 ecr 1936820632], length 324
00:35:17.739877 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 4013:4793, ack 1980, win 938, options [nop,nop,TS val 3824324108 ecr 1936820632], length 780
00:35:17.739901 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 4793:4909, ack 1980, win 938, options [nop,nop,TS val 3824324130 ecr 1936820632], length 116
00:35:17.754464 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 4793:4909, ack 1980, win 938, options [nop,nop,TS val 3824324202 ecr 1936820632], length 116
00:35:23.678607 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1980:2016, ack 4909, win 501, options [nop,nop,TS val 1936827603 ecr 3824324202], length 36
00:35:23.726226 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2016:2052, ack 4909, win 501, options [nop,nop,TS val 1936827650 ecr 3824330156], length 36
00:35:23.796981 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2052:2088, ack 4909, win 501, options [nop,nop,TS val 1936827721 ecr 3824330204], length 36
00:35:23.798314 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 4909:4945, ack 2052, win 938, options [nop,nop,TS val 3824330246 ecr 1936827650], length 36
00:35:23.845810 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 4945:4981, ack 2088, win 938, options [nop,nop,TS val 3824330294 ecr 1936827722], length 36
